,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,KIMHAE
874,2019-10-19 06:00:00,2019,10,19,2,6,1,16
876,2019-10-19 07:00:00,2019,10,19,2,7,1,16
878,2019-10-19 08:00:00,2019,10,19,2,8,1,14
880,2019-10-19 09:00:00,2019,10,19,2,9,1,16
882,2019-10-19 10:00:00,2019,10,19,2,10,1,15
884,2019-10-19 11:00:00,2019,10,19,2,11,1,17
886,2019-10-19 12:00:00,2019,10,19,2,12,2,17
888,2019-10-19 13:00:00,2019,10,19,2,13,2,17
890,2019-10-19 14:00:00,2019,10,19,2,14,2,15
892,2019-10-19 15:00:00,2019,10,19,2,15,2,15
894,2019-10-19 16:00:00,2019,10,19,2,16,2,14
896,2019-10-19 17:00:00,2019,10,19,2,17,2,15
898,2019-10-19 18:00:00,2019,10,19,2,18,3,14
900,2019-10-19 19:00:00,2019,10,19,2,19,3,17
902,2019-10-19 20:00:00,2019,10,19,2,20,3,18
904,2019-10-19 21:00:00,2019,10,19,2,21,3,20
906,2019-10-19 22:00:00,2019,10,19,2,22,3,19
908,2019-10-19 23:00:00,2019,10,19,2,23,3,16
910,2019-10-20 00:00:00,2019,10,20,2,0,0,17
912,2019-10-20 01:00:00,2019,10,20,2,1,0,17
914,2019-10-20 02:00:00,2019,10,20,2,2,0,14
